,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
182,2014,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,3042545.0006250003,194950.00078125,3237494.999375
183,2014,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,572853166.8925,32857232.9678125,605710399.8623438
184,2014,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,21335199.0,630212.0,21965411.0
185,2014,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,40685649.0,3636355.0,44322004.0
186,2014,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,40685648.999531254,3636354.9990625,44322004.000625
187,2014,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3042545.0,194950.0,3237495.0
188,2014,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,516925845.52171874,16645490.46875,533571335.99046874
189,2014,Combustible Tobacco,Cigars,Small Cigars,Cigars,2203721.3859375003,86949.6875,2290671.0734375003
190,2014,Combustible Tobacco,Cigars,Total Cigars,Cigars,30483344.7425,25150775.0,55634119.7425
191,2014,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,37643104.0,3441405.0,41084509.0
192,2014,Combustible Tobacco,Cigars,Large Cigars,Cigars,28279623.356562503,25063825.3125,53343448.6690625
193,2014,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,37643104.0009375,3441405.0003125,41084508.999218754
194,2014,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,113664778.0,702966.0,114367744.0
195,2015,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,19352433.0,858688.0,20211121.0
196,2015,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,39667190.0,4404935.0,44072125.0
197,2015,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,36192522.0,4165503.0,40358025.0
198,2015,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3474668.0,239432.0,3714100.0
199,2015,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,36192522.00078125,4165502.99953125,40358025.0003125
200,2015,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,3474668.00078125,239431.99921875002,3714100.0
201,2015,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,579997293.3746876,34966253.12578125,614963546.5004687
202,2015,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,527557379.3567188,17347323.90625,544904703.2629688
203,2015,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,116987888.0,583932.0,117571820.0
204,2015,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,39667189.999531254,4404935.00078125,44072125.0003125
205,2015,Combustible Tobacco,Cigars,Total Cigars,Cigars,25545448.036875002,26427988.4375,51973436.474375
206,2015,Combustible Tobacco,Cigars,Large Cigars,Cigars,23389557.485937502,26332499.375,49722056.8609375
207,2015,Combustible Tobacco,Cigars,Small Cigars,Cigars,2155890.5509375,95489.0625,2251379.6134375
208,2016,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,37629237.999843754,5138272.99984375,42767510.9996875
